학번,학년,반,성별,동아리,통학방법,주당공부시간,평균수면시간,하루스마트폰사용시간,주당운동시간,연간독서량,월평균용돈,국어,영어,수학,과학,사회,평균,3월모의고사평균,6월모의고사평균,9월모의고사평균,10월모의고사평균
S001,3,6,남,밴드부,도보,9.2,6.5,2,3.5,8,37000,71,47,58,75,75,65.2,52,50,53,54
S002,1,4,여,미술부,자전거,9.9,6.3,3.4,4.5,8,33000,71,67,58,60,62,63.6,57,59,57,55
S003,1,2,남,보드게임부,버스,10.3,6.9,3.9,1.3,13,76000,43,75,47,67,66,59.6,40,42,50,47
S004,2,1,남,미술부,도보,9.1,5.8,2.4,1.5,7,64000,69,71,64,87,66,71.4,72,71,82,84
S005,2,1,남,보드게임부,지하철,12.4,6.6,2.9,4.9,10,67000,60,92,74,57,66,69.8,66,73,76,84
S006,2,6,여,코딩반,도보,9.7,7.6,5.1,4.3,7,96000,89,54,53,70,72,67.6,58,54,65,59
S007,1,2,남,밴드부,버스,8.9,6.2,4.7,4.3,9,50000,73,48,62,71,65,63.8,54,55,57,56
S008,2,1,남,요리부,버스,6.3,4.1,3.9,3.3,9,50000,72,65,61,66,61,65,59,51,45,46
S009,2,1,여,미술부,도보,7.7,5.8,5.6,1.8,16,53000,68,70,46,58,60,60.4,51,56,56,57
S010,2,2,여,미술부,버스,10.7,7.3,0.9,1.4,14,79000,78,59,77,75,70,71.8,62,69,67,66
S011,3,6,남,축구부,버스,10.4,7.6,3.5,4.4,12,69000,63,65,68,61,82,67.8,64,70,72,84
S012,3,2,남,밴드부,도보,3.9,6.9,2.7,4.6,7,32000,69,57,52,75,61,62.8,58,76,82,86
S013,3,1,남,방송댄스부,부모님차,12.8,7.9,4.9,1.3,5,34000,79,70,73,73,66,72.2,64,72,70,67
S014,3,5,여,축구부,지하철,7.9,5.5,4.5,1.9,9,57000,67,70,59,77,67,68,59,57,60,53
S015,3,1,남,축구부,도보,7.3,7.8,4.6,2.8,10,60000,71,79,47,61,72,66,59,75,79,80
S016,1,3,남,요리부,지하철,13.3,6.7,2.5,4.3,7,59000,83,65,65,83,74,74,62,60,59,68
S017,3,1,남,보드게임부,버스,13.5,7.2,3.9,2.5,10,61000,74,66,71,80,76,73.4,63,70,68,71
S018,2,1,남,보드게임부,지하철,7.9,3.6,4.5,1.7,11,46000,57,44,67,55,71,58.8,54,61,64,54
S019,1,3,여,미술부,버스,8.9,7.4,4.8,4.5,5,62000,73,67,59,81,73,70.6,62,61,68,63
S020,1,1,여,코딩반,지하철,6.3,6.7,2.1,3.9,8,63000,78,49,53,90,68,67.6,51,61,61,64
